ID_PARCEL;SURF_PARC;CODE_CULTU;CODE_GROUP;TYPE;ID_EXPL;EPAIS;MAXSTORAGE;RU;ARGILE;LIMON;SABLE;CONDHYDRO;FILTSOIL;TYPESOIL;CODE_ASA;ID_CULTU;ID_TYPE;ID_TYPESOI;ID_ASA;ID_FARM;CLASS_CULT
420691;0,54;PPH;18;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;11;4
420519;0,91;PPH;18;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;11;4
420687;3,4;TR6;16;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;138;1;1;1;3;2
420688;0,24;PPH;18;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;11;4
420692;0,79;LU6;16;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;103;1;1;1;11;2
420601;0,45;PPH;18;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;11;4
420600;0,8;TR6;16;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;138;1;1;1;11;2
420507;0,16;LU6;16;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;103;1;1;1;11;2
420603;0,15;LU6;16;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;103;1;1;1;11;2
420612;0,39;PTR;19;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;151;1;1;1;3;4
420593;2,31;TR6;16;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;138;1;1;1;11;2
420508;0,25;PTR;19;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;151;1;1;1;11;4
420608;0,72;TR6;16;Gravitaire;005-16913;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;138;1;1;1;16;2
420607;0,45;PPH;18;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;11;4
420518;2,33;ORH;3;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;6;1;1;1;3;8
420606;0,55;PPH;18;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;11;4
